,Date,Open,High,Low,Close,Adj Close,Volume
961,20211223,1674.699951,1684.199951,1658.199951,1676.199951,1675.487671,979023
962,20211224,1680.0,1703.949951,1658.199951,1698.199951,1697.478394,1234386
963,20211227,1694.75,1738.0,1686.050049,1730.199951,1729.464722,1672655
964,20211228,1740.0,1760.0,1728.099976,1751.0,1750.255981,1552918
965,20211229,1751.0,1755.0,1709.400024,1718.050049,1717.320068,1100579
966,20211230,1714.0,1725.0,1685.0,1696.400024,1695.679199,1359574
967,20211231,1694.949951,1725.0,1691.050049,1709.449951,1708.723511,1310960
968,20220103,1713.0,1733.0,1711.199951,1717.150024,1716.42041,1094708
969,20220104,1725.75,1728.0,1700.0,1719.0,1718.269531,1191189
970,20220105,1722.0,1744.650024,1702.550049,1715.449951,1714.721069,1583598
971,20220106,1710.0,1723.849976,1675.599976,1713.099976,1712.37207,1615375
972,20220107,1719.900024,1730.800049,1689.5,1699.099976,1698.378052,1295933
973,20220110,1707.550049,1766.0,1699.099976,1752.599976,1751.855225,1670551
974,20220111,1758.0,1850.0,1737.0,1843.900024,1843.116455,5126019
975,20220112,1873.0,1873.0,1808.300049,1830.099976,1829.322388,2518912
976,20220113,1834.0,1863.0,1808.0,1853.349976,1852.5625,1881069
977,20220114,1850.0,1890.449951,1831.099976,1870.25,1869.455322,2357616
978,20220117,1876.0,1901.400024,1855.650024,1877.800049,1877.002075,1700525
979,20220118,1885.0,1908.5,1830.050049,1840.949951,1840.167725,2294146
980,20220119,1839.800049,1857.0,1811.25,1849.300049,1848.514282,1544606
981,20220120,1855.0,1880.349976,1843.699951,1865.849976,1865.057129,1252017
982,20220121,1860.849976,1873.0,1810.75,1828.349976,1827.57312,1929667
983,20220124,1822.0,1827.449951,1696.550049,1715.800049,1715.070923,2381112
984,20220125,1668.0,1750.550049,1668.0,1741.400024,1740.660034,1817963
985,20220127,1718.0,1725.550049,1654.5,1686.0,1685.283569,3549583
986,20220128,1702.5,1744.099976,1683.949951,1693.699951,1692.980225,1624750
987,20220131,1708.949951,1734.0,1705.0,1714.949951,1714.221191,1024738
988,20220201,1727.949951,1765.099976,1699.150024,1746.900024,1746.157715,1574361
989,20220202,1755.0,1786.0,1747.0,1779.349976,1778.593872,1405276
990,20220203,1771.949951,1787.0,1746.400024,1751.849976,1751.105591,588866
991,20220204,1758.0,1770.0,1733.699951,1757.300049,1756.553345,855996
992,20220207,1765.0,1765.5,1722.099976,1731.800049,1731.064209,854871
993,20220208,1739.400024,1747.0,1677.050049,1716.0,1715.270874,1480201
994,20220209,1724.599976,1791.900024,1718.099976,1783.150024,1782.392334,1674022
995,20220210,1799.0,1809.0,1766.0,1786.099976,1785.341064,1747943
996,20220211,1764.0,1774.900024,1743.349976,1764.300049,1763.550415,1196002
997,20220214,1736.300049,1737.900024,1653.0,1663.949951,1663.24292,1919476
998,20220215,1636.0,1751.400024,1627.849976,1744.25,1743.508789,2261554
999,20220216,1744.25,1776.0,1730.0,1738.099976,1737.36145,1663614
1000,20220217,1750.0,1762.0,1724.0,1730.949951,1730.214478,1075487
1001,20220218,1739.0,1754.599976,1725.0,1736.300049,1735.562256,945100
1002,20220221,1738.800049,1738.800049,1671.300049,1685.199951,1684.483887,1449291
1003,20220222,1636.099976,1678.900024,1630.0,1667.699951,1666.991333,1717579
1004,20220223,1682.0,1717.5,1670.0,1688.699951,1687.982422,1285012
1005,20220224,1626.0,1648.599976,1528.800049,1543.949951,1543.293945,2798065
1006,20220225,1594.0,1638.099976,1578.800049,1618.699951,1618.012085,1741584
1007,20220228,1603.75,1651.099976,1592.25,1644.449951,1643.751221,1869037
1008,20220302,1638.0,1664.25,1615.5,1641.800049,1641.102417,1249817
1009,20220303,1670.0,1678.199951,1634.949951,1643.800049,1643.101563,1333325
1010,20220304,1621.800049,1655.5,1601.199951,1615.0,1614.313721,1433490
1011,20220307,1590.0,1592.0,1539.300049,1564.050049,1563.385498,1508821
1012,20220308,1574.900024,1607.400024,1553.400024,1601.599976,1600.919434,1396347
